Profile,SepYOS,SepAge,N_iter,BRSAdv_p10,BRSAdv_p25,BRSAdv_p50,BRSAdv_p75,BRSAdv_p90,BRSAdv_mean,H3Total_p10,H3Total_p25,H3Total_p50,H3Total_p75,H3Total_p90,H3Total_mean,BRSTotal_p10,BRSTotal_p25,BRSTotal_p50,BRSTotal_p75,BRSTotal_p90,BRSTotal_mean
Enlisted,8,26,20000,13909.879000676037,21311.874407087133,33858.41098397563,52893.656599291324,78377.13395069625,41917.05369378871,16966.194640014415,26013.511280950563,41586.6965099183,65152.15462461749,97486.9131474884,51803.67720820524,30880.8847836704,47319.863550007016,75423.85246274417,118049.50090713035,175924.72036449498,93720.73090199396
Enlisted,10,28,20000,19659.251374238236,29415.125456574657,46041.4866981386,71425.27419453906,104035.53124566983,56140.33774082651,22838.620538843563,34394.26241701517,54088.4184098572,84108.92537638827,123349.63474603252,66313.5759065262,42497.92437708531,63863.83919500797,100275.80960981379,155780.82950286553,227567.27694277436,122453.91364735269
Enlisted,12,30,20000,25426.700687923392,37874.624479667335,58912.159623415064,90349.17202395615,131956.83684379616,71419.63648983701,28783.083936971514,43151.70690610199,67114.11551593029,103904.23969932112,152862.33922652432,82028.87765127965,54230.57608002269,81050.73212150583,125885.59587348663,194229.3217899926,285411.6618054514,153448.51414111667
Enlisted,14,32,20000,32708.187102547665,47654.71544350864,72541.45383084212,109270.94725404773,158528.77655793432,87161.16204944596,36100.898177773735,53074.182552362516,81181.18501223884,123007.5869172477,178943.3297049343,98182.04532644669,68780.78077290303,100827.29073964623,153830.1957352437,232269.0357697232,337588.88037266256,185343.20737589264
Enlisted,16,34,20000,40002.54098170792,57348.66995487509,86408.5744617992,128894.72913713244,184402.4874802251,102685.90526783536,43720.95728223036,62824.61031754967,95340.70675142939,143228.7858580796,206576.6728162984,113980.2238414022,83839.61502231866,120218.03957701467,181810.5874208963,271923.68019139045,390916.12747193425,216666.12910923758
Enlisted,18,36,20000,48162.00955676334,68712.68812435183,102650.26094016348,150361.10902352227,213683.801131511,120644.93767651576,51853.04456189841,74572.6351540293,111953.51129874578,165562.8999382013,236590.49572335678,132463.6713867957,99976.09754774705,143258.93481006465,214630.39556262238,316398.2203966251,450559.5882114043,253108.6090633114
Enlisted,20,38,20000,-240038.91561358637,-170989.56089057814,-99302.60288151482,-20550.581327693304,63210.71258003949,-93029.00631267142,783327.3208699324,1042715.4955031418,1281649.9265496398,1542350.8928253136,1837337.8656148044,1301994.6120278672,758789.7714622936,977321.4921448539,1192599.6921497309,1424628.6798068606,1671884.0671756077,1208965.6057151954
Enlisted,22,40,20000,-295295.9761139328,-215217.79264594428,-127475.76773848082,-34370.07012130617,62813.87887996591,-121635.31865010275,927309.7014570395,1253000.1327830986,1549764.6154087512,1862664.9971733335,2210394.940489274,1567326.4267250893,904481.9194098852,1172261.9580039808,1432108.69306145,1704719.153430928,1989451.110823281,1445691.1080749864
Enlisted,24,42,20000,-342723.6687827383,-247856.6562226239,-150496.1149101263,-42895.321462726686,66387.59666625693,-143580.48551932315,1044203.3964697472,1449298.020709508,1779115.799037395,2131629.1748390114,2517953.4235072755,1790581.4400357949,1012116.7203963861,1349010.81222536,1638692.712665968,1945759.1965398248,2265452.4850600804,1647000.9545164716
Enlisted,26,44,20000,-369873.4130339406,-268059.91180748196,-159617.61489399034,-42382.97854102205,79988.35810623808,-152279.53316723648,1126654.1013364932,1565334.3793705716,1953181.2623316264,2342076.8564012973,2761088.5493364856,1958700.1435508812,1105444.0490865218,1467561.3155995503,1798822.6773078563,2137626.558459615,2482476.2401016443,1806420.6103836445
Enlisted,28,46,20000,-391122.56117968203,-283732.6248796472,-167574.48751387105,-37097.67677609343,92293.98419165531,-157466.89578193077,1167924.4589277434,1683617.392816886,2118101.3642563173,2523105.1564753167,2947958.7290595863,2100216.080672827,1168244.9178964037,1589890.503721066,1959224.205231992,2303630.245856111,2660166.198600491,1942749.1848908963
Enlisted,30,48,20000,-404203.0609732251,-288767.8667195153,-160916.29869088903,-24255.050435254292,114333.57343452614,-151965.50084178406,1192108.1241693555,1755402.243211041,2223369.8658802127,2662841.07385311,3111606.083064124,2203110.9661353678,1217589.2328645703,1670097.1982365437,2067389.9397197855,2443518.8968851212,2816596.7457986213,2051145.4652935837
PriorEnlistedOfficer,4,22,20000,4584.390258137289,7048.153155618853,11472.584018377358,18449.56181544796,28095.317847317805,14651.277302402737,7412.148154026835,11374.91321629318,18640.25952729242,30053.022514268192,46025.26172007107,23893.25903262437,12012.909892343609,18403.811986126817,30179.28504101849,48469.80019124657,73995.66529259107,38544.53633502711
PriorEnlistedOfficer,6,24,20000,9127.099557678857,13899.593480480391,22220.99042331407,35101.62973081878,53153.531025017786,28007.132629967244,12088.680015059406,18521.776935532384,29637.919078427833,47147.89551921765,71704.74996992144,37574.98016868792,21253.90652866297,32475.375438775598,51960.651806932416,82260.41016025616,124749.90758563856,65582.11279865516
PriorEnlistedOfficer,8,26,20000,14185.543144965994,21380.44750251146,33622.07035867442,52557.02105283299,78442.24634195799,41475.0171935,17358.702265692424,26190.432909788688,41232.6195129885,64984.56153194409,97367.2219803793,51267.54519989392,31496.09668344514,47680.735989059016,74893.94910633155,117610.34340348114,175515.23127278296,92742.56239339392
PriorEnlistedOfficer,10,28,20000,21653.593107953744,32207.664360058436,50104.44627187023,77092.98015490733,113974.55562428746,61251.91388269224,24796.2910148,37215.00667947413,58123.67771709186,90006.67461820487,133593.3138619369,71481.65699596338,46375.60936626758,69399.67634110294,108215.1075054874,167346.53014102398,247313.93990579707,132733.57087865562
PriorEnlistedOfficer,12,30,20000,30917.118431087147,45737.55693235546,69654.2946870682,106683.50555439491,154823.0528051608,84448.16465395936,34243.77253501117,50968.75498752207,77965.32394577819,120094.26237064399,175205.435937652,95106.11601424175,65159.75570469739,96782.70325471596,147455.11417839775,227039.39770875697,329448.6718570059,179554.2806682011
PriorEnlistedOfficer,14,32,20000,41806.366566571596,60333.13014033883,91095.10871115576,135811.0497078469,195119.73901347077,108395.72655638294,45360.33883826597,65861.35388015576,99738.93214629554,149740.94170647574,215505.52773508368,119365.37351530716,87237.48340135078,125948.39083766653,190784.08313164703,285820.41633035085,410602.4741747211,227761.10007169007
PriorEnlistedOfficer,16,34,20000,53236.494596770615,75337.40783592175,111889.48585092092,166103.85708332207,232779.48645881345,132010.33451226726,56974.05928278144,81049.75349239318,120823.47525330356,180320.98148922526,254393.22463429035,143292.18916093308,110275.36619893435,156411.0509275966,232830.34943960176,346549.93477925385,487394.6484102571,275302.52367320034
PriorEnlistedOfficer,18,36,20000,65436.550843153804,91386.55386877683,134376.92951850969,195651.35889963811,275499.9079430834,156613.28157440675,69369.93809461518,97339.85676921548,143654.53576349176,210424.61112421178,297369.5774477903,168342.07464527205,134799.82955950964,188744.60078200922,277953.8832654556,406030.95670359005,573134.3765609089,324955.35621967877
PriorEnlistedOfficer,20,38,20000,-383380.61711276596,-280296.4296247419,-177887.43078688986,-67489.29182237654,52099.751101473965,-172066.69382928466,1191492.0334628904,1579151.8565571469,1934497.818316747,2331447.150936186,2767745.73509546,1968047.1860092194,1137845.5457162412,1457617.2495880807,1770620.1081116009,2112546.3751528887,2484404.4728415143,1795980.4921799346
PriorEnlistedOfficer,22,40,20000,-398404.1677430236,-286880.4520155964,-171838.14464005223,-49972.78577697088,74145.97710126246,-166607.56962182713,1231863.3207571993,1669163.6749127225,2068034.1113016205,2497227.895149541,2959483.51263703,2092092.5943213108,1194852.5785553993,1562678.9322915408,1908551.530772646,2276264.105013083,2662589.307953578,1925485.0246994835
PriorEnlistedOfficer,24,42,20000,-441244.4539398157,-321871.0235183127,-192117.55983803316,-54044.41839255724,88011.87429231447,-184132.37421942045,1353541.5481980368,1875453.6582291638,2318740.409898902,2782159.4695209945,3278404.804391063,2333446.189695238,1328722.9577375744,1752966.7427715242,2136730.301769548,2543078.9560749675,2944657.9025594695,2149313.815475818
PriorEnlistedOfficer,26,44,20000,-519989.3611244627,-381343.3508845421,-232496.76024195587,-71851.28910891822,86828.64639049751,-224752.84692584182,1510822.9630154339,2157752.282256525,2691930.4197468916,3236436.9811470686,3805552.786324597,2694650.4935617903,1495767.8739387582,2016735.547924894,2469917.5369967306,2929622.7113211416,3390060.5362273604,2469897.646635949
PriorEnlistedOfficer,28,46,20000,-524017.18369440734,-376919.6033306464,-218928.80872328032,-48544.176985825296,117498.89508244775,-210770.10270475424,1552299.0430784477,2226518.443190839,2805121.266944575,3355755.280649171,3942142.7737739286,2790504.351647572,1548165.1629691483,2108078.905210181,2593843.7829538295,3069041.477373459,3537006.1604116447,2579734.2489428176
PriorEnlistedOfficer,30,48,20000,-583301.8738961292,-422724.69973382365,-245633.38585499546,-50212.66334369476,133500.43237175824,-233786.979370582,1660200.8363595123,2465023.4097997393,3131041.4761608327,3740934.3384917704,4364167.7265132135,3093673.473843129,1674600.9891612595,2333258.4913158547,2893887.612495053,3407705.100330557,3925366.6986124204,2859886.494472547
PriorEnlistedOfficer,32,50,20000,-696289.8345416483,-509062.51493662153,-306105.7932866418,-80223.08762906649,129498.51597337033,-292798.65528618643,1845830.365375679,2816228.521389964,3648288.1170140877,4377965.329980246,5097450.925638672,3580302.168759377,1857110.9603384272,2661229.5542664076,3345038.2668997366,3952379.980336567,4531062.899795853,3287503.5134731913
PriorEnlistedOfficer,34,52,20000,-690868.7562754884,-501034.9804973762,-287025.36427329155,-51032.10816867056,169738.0643574352,-273463.3392056969,1829205.8011057603,2878024.094248476,3747715.1000938276,4485372.286948757,5228874.271910304,3668095.2619612915,1894846.9877719076,2737107.477503372,3469722.4245992135,4080248.3549718633,4672849.802043318,3394631.922755595
PriorEnlistedOfficer,36,54,20000,-712804.0245146452,-509096.3548678119,-280765.26580799,-22643.008805818274,213853.0174548694,-262266.75257098005,1834549.4491974786,2962023.3166887835,3969879.6015268783,4749881.551896105,5489960.193307246,3833501.122208628,1932472.2847428194,2843005.8407165436,3681002.946832552,4347701.749017546,4930029.203109195,3571234.369637648
PriorEnlistedOfficer,38,56,20000,-776865.3551443949,-557644.9942913912,-306199.2244418806,-26282.276255420875,233462.29831793398,-287541.9911725429,1935953.4177092623,3173322.0727529023,4301684.228563753,5154623.15999827,5969599.32006575,4150708.661380554,2060331.5507272757,3060051.7114464054,3998153.635495868,4704728.503192466,5345438.5511457445,3863166.6702080118
PriorEnlistedOfficer,40,58,20000,-827479.8401397298,-590170.7492260181,-310209.7033747381,-2291.0594301584642,269164.2878142411,-290337.6799697498,1994564.7434287928,3337345.366274857,4588875.354323894,5547652.746695935,6417366.962383954,4426165.233250003,2158262.0315415706,3255232.143019948,4288752.6389299035,5067013.694803314,5764305.959229438,4135827.553280252
